X,Y,Z
243414.341,1717599.588,400.372
243414.341,1717599.588,402.872
243414.341,1717602.088,400.372
243414.341,1717602.088,402.872
243416.841,1717599.588,400.372
243416.841,1717599.588,402.872
243416.841,1717602.088,400.372
243416.841,1717602.088,402.872
243414.341,1717604.588,395.372
243414.341,1717604.588,397.872
243414.341,1717607.088,395.372
243414.341,1717607.088,397.872
243416.841,1717604.588,395.372
243416.841,1717604.588,397.872
243416.841,1717607.088,395.372
243416.841,1717607.088,397.872
243414.341,1717604.588,400.372
243414.341,1717604.588,402.872
243414.341,1717607.088,400.372
243414.341,1717607.088,402.872
243416.841,1717604.588,400.372
243416.841,1717604.588,402.872
243416.841,1717607.088,400.372
243416.841,1717607.088,402.872
243419.341,1717599.588,395.372
243419.341,1717599.588,397.872
243419.341,1717602.088,395.372
243419.341,1717602.088,397.872
243421.841,1717599.588,395.372
243421.841,1717599.588,397.872
243421.841,1717602.088,395.372
243421.841,1717602.088,397.872
243419.341,1717599.588,400.372
243419.341,1717599.588,402.872
243419.341,1717602.088,400.372
243419.341,1717602.088,402.872
243421.841,1717599.588,400.372
243421.841,1717599.588,402.872
243421.841,1717602.088,400.372
243421.841,1717602.088,402.872
243419.341,1717604.588,395.372
243419.341,1717604.588,397.872
243419.341,1717607.088,395.372
243419.341,1717607.088,397.872
243421.841,1717604.588,395.372
243421.841,1717604.588,397.872
243421.841,1717607.088,395.372
243421.841,1717607.088,397.872
243419.341,1717604.588,400.372
243419.341,1717604.588,402.872
243419.341,1717607.088,400.372
243419.341,1717607.088,402.872
243421.841,1717604.588,400.372
243421.841,1717604.588,402.872
243421.841,1717607.088,400.372
243421.841,1717607.088,402.872
243414.341,1717599.588,405.372
243414.341,1717602.088,405.372
243416.841,1717599.588,405.372
243416.841,1717602.088,405.372
243414.341,1717604.588,405.372
243414.341,1717607.088,405.372
243416.841,1717604.588,405.372
243416.841,1717607.088,405.372
243419.341,1717599.588,405.372
243419.341,1717602.088,405.372
243421.841,1717599.588,405.372
243421.841,1717602.088,405.372
243419.341,1717604.588,405.372
243419.341,1717607.088,405.372
243421.841,1717604.588,405.372
243421.841,1717607.088,405.372
243424.341,1717589.588,395.372
243424.341,1717589.588,397.872
243424.341,1717592.088,395.372
243424.341,1717592.088,397.872
243426.841,1717589.588,395.372
243426.841,1717589.588,397.872
243426.841,1717592.088,395.372
243426.841,1717592.088,397.872
243424.341,1717589.588,400.372
243424.341,1717592.088,400.372
243424.341,1717592.088,402.872
243426.841,1717589.588,400.372
243426.841,1717592.088,400.372
243424.341,1717594.588,395.372
243424.341,1717594.588,397.872
243424.341,1717597.088,395.372
243424.341,1717597.088,397.872
243426.841,1717594.588,395.372
243426.841,1717594.588,397.872
243426.841,1717597.088,395.372
243426.841,1717597.088,397.872
243424.341,1717594.588,400.372
243424.341,1717594.588,402.872
243424.341,1717597.088,400.372
243424.341,1717597.088,402.872
243426.841,1717594.588,400.372
243426.841,1717594.588,402.872
243426.841,1717597.088,400.372
243426.841,1717597.088,402.872
243429.341,1717589.588,395.372
243429.341,1717589.588,397.872
243429.341,1717592.088,395.372
243429.341,1717592.088,397.872
243431.841,1717589.588,395.372
243431.841,1717589.588,397.872
243431.841,1717592.088,395.372
243431.841,1717592.088,397.872
243429.341,1717589.588,400.372
243429.341,1717592.088,400.372
243431.841,1717589.588,400.372
243431.841,1717592.088,400.372
243429.341,1717594.588,395.372
243429.341,1717594.588,397.872
243429.341,1717597.088,395.372
243429.341,1717597.088,397.872
243431.841,1717594.588,395.372
243431.841,1717594.588,397.872
243431.841,1717597.088,395.372
243431.841,1717597.088,397.872
243429.341,1717594.588,400.372
243429.341,1717597.088,400.372
243429.341,1717597.088,402.872
243431.841,1717594.588,400.372
243431.841,1717597.088,400.372
243424.341,1717599.588,395.372
243424.341,1717599.588,397.872
243424.341,1717602.088,395.372
243424.341,1717602.088,397.872
243426.841,1717599.588,395.372
243426.841,1717599.588,397.872
243426.841,1717602.088,395.372
243426.841,1717602.088,397.872
243424.341,1717599.588,400.372
243424.341,1717599.588,402.872
243424.341,1717602.088,400.372
243424.341,1717602.088,402.872
243426.841,1717599.588,400.372
243426.841,1717599.588,402.872
243426.841,1717602.088,400.372
243426.841,1717602.088,402.872
243424.341,1717604.588,395.372
243424.341,1717604.588,397.872
243424.341,1717607.088,395.372
243424.341,1717607.088,397.872
243426.841,1717604.588,395.372
243426.841,1717604.588,397.872
243426.841,1717607.088,395.372
243426.841,1717607.088,397.872
243424.341,1717604.588,400.372
243424.341,1717604.588,402.872
243424.341,1717607.088,400.372
243424.341,1717607.088,402.872
243426.841,1717604.588,400.372
243426.841,1717604.588,402.872
243426.841,1717607.088,400.372
243426.841,1717607.088,402.872
243429.341,1717599.588,395.372
243429.341,1717599.588,397.872
243429.341,1717602.088,395.372
243429.341,1717602.088,397.872
243431.841,1717599.588,395.372
243431.841,1717599.588,397.872
243431.841,1717602.088,395.372
243431.841,1717602.088,397.872
243429.341,1717599.588,400.372
243429.341,1717599.588,402.872
243429.341,1717602.088,400.372
243429.341,1717602.088,402.872
243431.841,1717599.588,400.372
243431.841,1717599.588,402.872
243431.841,1717602.088,400.372
243431.841,1717602.088,402.872
243429.341,1717604.588,395.372
243429.341,1717604.588,397.872
243429.341,1717607.088,395.372
243429.341,1717607.088,397.872
243431.841,1717604.588,395.372
243431.841,1717604.588,397.872
243431.841,1717607.088,395.372
243431.841,1717607.088,397.872
243429.341,1717604.588,400.372
243429.341,1717604.588,402.872
243429.341,1717607.088,400.372
243429.341,1717607.088,402.872
243431.841,1717604.588,400.372
243431.841,1717604.588,402.872
